,city,date,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,wind_speed,rainfall,pressure
0,bengaluru,2020-11-30,1,317.1,0.69,6.34,76.53,4.89,6.75,7.9,1.6,21.9,6.1,0.0,1016.4
1,bengaluru,2020-12-01,5,480.65,0.0,7.8,75.1,3.93,83.53,97.38,1.55,21.1,4.8,0.0,1016.5
2,bengaluru,2020-12-02,5,500.68,0.0,10.63,71.53,4.65,79.53,92.61,1.87,20.8,5.1,0.0,1015.1
3,bengaluru,2020-12-03,5,373.84,0.0,7.97,75.82,4.53,60.84,65.14,1.16,19.9,6.8,2.3,1013.9
4,bengaluru,2020-12-04,4,447.27,0.0,6.0,63.66,2.89,26.25,26.84,0.87,20.8,7.8,1.8,1012.7
5,bengaluru,2020-12-05,1,370.5,0.0,5.91,40.41,2.71,8.24,8.91,1.05,21.0,8.2,0.8,1013.4
6,bengaluru,2020-12-06,2,333.79,0.0,3.38,64.37,1.67,14.21,14.77,0.86,20.9,6.6,1.3,1014.7
7,bengaluru,2020-12-07,1,340.46,0.02,5.14,25.39,2.59,1.94,2.36,0.95,21.7,9.0,7.6,1015.9
8,bengaluru,2020-12-08,1,534.06,0.0,8.82,42.56,4.65,5.16,5.85,1.09,21.3,7.4,5.6,1016.7
9,bengaluru,2020-12-09,3,687.6,0.01,19.19,34.69,12.28,23.74,25.54,1.43,21.7,8.2,0.8,1016.1
10,bengaluru,2020-12-10,5,514.03,0.0,14.05,48.64,5.9,53.21,58.32,1.68,21.3,7.3,0.0,1016.2
11,bengaluru,2020-12-11,5,647.54,0.02,25.71,33.98,5.78,56.57,68.22,1.92,21.2,5.3,0.0,1015.7
12,bengaluru,2020-12-12,5,547.41,0.0,18.51,47.21,5.07,77.83,86.26,1.16,20.4,5.8,0.0,1015.8
13,bengaluru,2020-12-13,5,660.9,0.04,23.99,25.75,3.93,71.36,80.36,1.73,21.2,4.5,0.0,1014.9
14,bengaluru,2020-12-14,5,587.46,0.03,18.68,28.61,4.17,64.61,73.98,1.82,20.8,6.1,0.0,1014.8
15,bengaluru,2020-12-15,4,627.52,0.01,22.28,38.27,5.19,48.97,57.33,1.77,21.3,7.5,0.0,1016.0
16,bengaluru,2020-12-16,5,567.44,0.0,12.34,58.65,5.25,68.78,75.2,1.66,21.8,6.5,0.0,1016.6
17,bengaluru,2020-12-17,3,527.38,0.0,12.0,45.42,4.89,21.41,22.97,1.49,21.7,7.2,0.3,1016.5
18,bengaluru,2020-12-18,4,433.92,0.0,10.28,55.08,5.19,27.9,31.18,1.58,22.1,8.3,0.0,1016.4
19,bengaluru,2020-12-19,4,433.92,0.0,11.82,47.92,4.05,31.0,38.43,1.82,20.4,10.6,0.0,1017.0
20,bengaluru,2020-12-20,5,520.71,0.0,8.23,66.52,3.79,58.17,63.23,1.25,20.3,8.7,0.0,1017.0
21,bengaluru,2020-12-21,5,567.44,0.0,10.97,67.95,4.95,80.13,90.62,1.2,19.7,9.0,0.0,1016.3
22,bengaluru,2020-12-22,5,560.76,0.0,18.51,56.51,5.78,66.04,78.46,1.84,20.6,8.1,0.0,1015.4
23,bengaluru,2020-12-23,5,634.19,0.01,25.02,39.7,6.02,64.86,77.2,2.06,21.2,7.4,0.0,1014.4
24,bengaluru,2020-12-24,4,500.68,0.0,17.31,55.08,6.86,49.77,60.81,2.76,21.7,7.1,0.0,1013.7
25,bengaluru,2020-12-25,5,473.98,0.0,15.77,66.52,6.32,56.35,65.53,1.96,21.2,6.5,0.0,1014.5
26,bengaluru,2020-12-26,4,500.68,0.0,17.65,45.42,4.95,48.08,57.69,2.01,21.2,6.7,0.0,1015.6
27,bengaluru,2020-12-27,5,640.87,0.0,18.34,50.78,4.11,91.91,102.36,2.06,21.4,4.8,0.0,1015.3
28,bengaluru,2020-12-28,5,614.17,0.0,15.94,59.37,5.01,105.63,116.53,1.77,21.2,5.5,0.0,1014.9
29,bengaluru,2020-12-29,5,734.33,0.0,21.42,52.93,5.96,126.78,138.87,2.19,22.5,6.5,0.0,1014.4
30,bengaluru,2020-12-30,5,487.33,0.0,11.31,73.67,6.2,79.96,90.87,1.43,22.8,10.3,0.0,1014.3
31,bengaluru,2020-12-31,3,350.48,0.0,9.43,71.53,5.25,24.74,30.47,1.43,21.1,9.4,0.0,1015.1
32,bengaluru,2021-01-01,5,423.91,0.0,12.85,64.37,5.66,52.34,69.06,1.81,20.6,10.4,0.5,1015.6
33,bengaluru,2021-01-02,5,467.3,0.0,10.28,84.4,5.25,67.58,84.51,1.68,20.9,11.3,0.4,1014.5
34,bengaluru,2021-01-03,5,447.27,0.0,7.37,71.53,4.17,58.68,60.74,1.27,21.9,12.0,0.0,1013.0
35,bengaluru,2021-01-04,4,400.54,0.0,9.25,50.07,4.35,30.84,34.66,1.62,20.8,10.8,0.0,1013.1
36,bengaluru,2021-01-05,2,500.68,0.0,10.2,52.93,4.95,17.27,19.13,1.44,21.9,10.9,0.0,1013.9
37,bengaluru,2021-01-06,2,540.73,0.01,13.37,33.26,6.02,19.39,20.57,1.28,21.2,8.2,7.5,1013.3
38,bengaluru,2021-01-07,3,614.17,0.18,16.97,15.38,5.54,20.91,22.16,1.44,21.6,10.0,0.8,1011.5
39,bengaluru,2021-01-08,2,494.0,0.08,14.91,19.67,5.54,13.54,14.98,1.58,22.3,9.4,9.0,1011.2
40,bengaluru,2021-01-09,2,567.44,0.09,21.94,17.7,9.06,14.8,16.55,1.3,21.4,9.6,0.0,1012.0
41,bengaluru,2021-01-10,2,370.5,0.01,9.6,28.61,4.11,16.14,18.68,1.76,22.2,8.6,0.0,1012.7
42,bengaluru,2021-01-11,2,453.95,0.1,17.48,17.52,5.25,13.43,17.86,2.41,21.6,8.6,0.0,1013.7
43,bengaluru,2021-01-12,4,494.0,0.07,15.59,21.64,4.05,26.02,32.69,2.0,20.4,12.3,0.0,1013.4
44,bengaluru,2021-01-13,4,380.52,0.01,11.31,37.19,4.05,34.59,41.65,1.68,21.3,11.3,0.0,1013.3
45,bengaluru,2021-01-14,4,460.63,0.0,13.88,43.99,4.95,40.86,49.06,1.68,20.8,11.3,0.2,1013.3
46,bengaluru,2021-01-15,5,487.33,0.0,11.14,50.78,5.19,67.65,70.02,1.03,21.8,9.9,0.0,1012.7
47,bengaluru,2021-01-16,4,453.95,0.0,12.51,52.21,5.42,42.79,50.89,1.33,22.2,9.4,0.0,1012.0
48,bengaluru,2021-01-17,5,460.63,0.0,10.71,55.79,4.23,52.5,59.59,1.49,22.2,8.4,0.0,1013.1
49,bengaluru,2021-01-18,5,420.57,0.0,9.08,73.67,4.53,56.98,63.0,2.25,21.8,9.6,0.0,1014.2
50,bengaluru,2021-01-19,4,487.33,0.0,15.42,52.93,5.78,42.85,50.41,1.58,21.8,6.5,0.0,1014.0
51,bengaluru,2021-01-20,4,634.19,0.01,24.33,35.05,5.48,32.29,40.0,2.69,22.7,6.4,0.0,1014.2
52,bengaluru,2021-01-21,4,600.82,0.0,20.22,47.21,5.6,48.11,54.15,2.5,23.8,5.0,0.0,1013.8
53,bengaluru,2021-01-22,4,834.47,2.52,32.9,3.93,6.26,29.8,39.67,3.26,23.8,7.0,0.1,1013.5
54,bengaluru,2021-01-23,4,554.09,0.0,13.02,84.4,8.23,49.91,54.69,3.07,22.5,8.9,0.0,1014.0
55,bengaluru,2021-01-24,4,447.27,0.0,12.17,62.23,7.87,35.96,40.63,2.31,21.9,7.4,0.0,1014.5
56,bengaluru,2021-01-25,3,467.3,0.0,15.25,51.5,4.83,20.2,24.76,2.85,21.6,7.9,0.0,1015.1
57,bengaluru,2021-01-26,4,1001.36,1.41,43.87,7.51,5.84,37.51,47.8,3.23,21.9,7.1,0.0,1014.2
58,bengaluru,2021-01-27,4,487.33,0.0,15.25,68.67,6.02,30.98,36.64,5.19,21.7,9.2,0.0,1014.6
59,bengaluru,2021-01-28,5,580.79,0.0,17.14,50.07,11.09,84.25,89.28,0.74,21.6,10.5,0.0,1015.1
60,bengaluru,2021-01-29,4,473.98,0.0,11.48,88.69,8.46,44.4,53.12,1.77,22.4,9.5,0.0,1015.4
61,bengaluru,2021-01-30,5,487.33,0.0,12.34,81.54,6.32,55.39,64.49,1.76,22.8,9.3,0.0,1014.5
62,bengaluru,2021-01-31,5,453.95,0.0,7.54,107.29,7.15,89.21,99.73,1.77,22.7,10.8,0.0,1014.6
63,bengaluru,2021-02-01,5,433.92,0.0,7.11,105.86,7.33,83.44,94.02,1.92,22.8,10.7,0.0,1016.4
64,bengaluru,2021-02-02,4,420.57,0.0,10.8,58.65,5.31,32.52,39.57,2.76,22.1,11.6,0.0,1016.9
65,bengaluru,2021-02-03,5,607.49,0.0,9.77,85.83,5.78,77.49,84.6,1.82,21.8,11.1,0.0,1016.1
66,bengaluru,2021-02-04,4,400.54,0.0,12.51,78.68,7.63,37.85,48.82,5.32,22.1,9.6,0.0,1015.8
67,bengaluru,2021-02-05,5,473.98,0.0,12.34,87.98,8.82,63.46,78.65,4.75,22.2,8.7,0.0,1015.0
68,bengaluru,2021-02-06,5,494.0,0.0,16.11,77.25,7.99,55.79,67.04,6.65,22.4,10.2,0.0,1014.1
69,bengaluru,2021-02-07,5,433.92,0.0,11.31,82.25,6.38,52.8,60.85,5.76,22.3,10.0,0.0,1014.7
70,bengaluru,2021-02-08,5,473.98,0.0,11.48,88.69,7.57,74.61,83.38,5.45,22.1,10.4,0.0,1015.5
71,bengaluru,2021-02-09,4,480.65,0.0,12.34,81.54,7.99,37.34,46.36,5.13,20.6,10.3,0.0,1015.0
72,bengaluru,2021-02-10,5,580.79,0.0,16.28,95.84,9.78,58.32,71.83,7.16,21.7,9.0,0.0,1013.7
73,bengaluru,2021-02-11,5,614.17,0.0,19.19,92.98,10.01,67.68,77.44,6.78,20.3,10.8,0.0,1013.2
74,bengaluru,2021-02-12,5,494.0,0.0,14.74,103.0,12.99,60.79,70.29,5.38,20.7,11.5,0.0,1013.6
75,bengaluru,2021-02-13,5,487.33,0.0,13.88,98.71,12.4,54.75,64.3,4.56,20.6,9.8,0.0,1014.7
76,bengaluru,2021-02-14,3,407.22,0.0,12.68,77.25,5.54,20.77,26.54,6.84,23.0,6.5,0.0,1014.4
77,bengaluru,2021-02-15,4,467.3,0.0,14.05,82.25,7.33,32.04,38.39,7.28,24.0,6.4,0.0,1013.2
78,bengaluru,2021-02-16,4,480.65,0.0,14.05,92.98,12.04,43.07,49.87,5.95,23.9,7.4,0.0,1013.0
79,bengaluru,2021-02-17,4,554.09,0.0,18.34,62.94,8.11,35.58,43.12,8.74,23.8,8.1,0.0,1012.5
80,bengaluru,2021-02-18,5,480.65,0.0,9.17,117.3,6.91,82.68,92.61,3.45,22.8,10.0,0.1,1013.8
81,bengaluru,2021-02-19,5,594.14,0.0,15.08,141.62,20.5,110.24,122.37,2.41,22.8,10.2,1.7,1015.1
82,bengaluru,2021-02-20,4,410.56,0.0,10.54,65.8,5.01,27.37,29.01,1.47,19.8,11.4,4.2,1014.9
83,bengaluru,2021-02-21,4,487.33,0.0,11.48,52.21,4.71,29.6,31.15,1.69,20.6,11.8,4.7,1015.6
84,bengaluru,2021-02-22,2,560.76,0.0,15.25,48.64,8.7,12.08,13.36,1.5,22.8,8.8,0.4,1016.0
85,bengaluru,2021-02-23,2,607.49,0.0,16.79,44.7,6.08,16.66,20.33,2.06,24.5,8.1,0.0,1014.3
86,bengaluru,2021-02-24,4,614.17,0.0,14.22,79.39,7.75,31.25,37.51,5.0,24.4,7.7,0.0,1013.5
87,bengaluru,2021-02-25,5,647.54,0.0,19.54,77.96,8.11,56.37,63.29,6.97,25.3,6.2,0.0,1013.0
88,bengaluru,2021-02-26,5,881.2,0.0,34.27,52.21,12.28,86.51,96.75,10.26,25.8,5.9,0.0,1011.8
89,bengaluru,2021-02-27,5,1321.79,2.99,62.38,7.24,10.61,72.09,83.36,11.27,26.2,6.3,0.0,1010.7
90,bengaluru,2021-02-28,5,520.71,0.0,13.2,100.14,9.18,69.56,75.94,5.83,26.0,9.6,0.0,1011.4
91,bengaluru,2021-03-01,4,460.63,0.0,11.65,94.41,6.2,47.64,53.14,6.08,25.4,8.6,0.0,1014.1
92,bengaluru,2021-03-02,4,480.65,0.0,14.05,80.11,8.23,43.97,50.23,6.71,25.3,9.3,0.0,1014.3
93,bengaluru,2021-03-03,4,433.92,0.0,13.71,82.97,8.94,39.74,45.65,5.38,25.0,10.5,0.0,1013.2
94,bengaluru,2021-03-04,4,417.23,0.0,12.68,82.97,7.15,39.56,46.32,5.76,24.6,10.6,0.0,1013.7
95,bengaluru,2021-03-05,4,423.91,0.0,12.68,73.67,5.78,36.31,41.87,5.45,24.9,7.5,0.0,1014.5
96,bengaluru,2021-03-06,4,494.0,0.0,16.97,46.49,6.38,25.75,31.77,7.22,26.7,7.1,0.0,1014.4
97,bengaluru,2021-03-07,4,467.3,0.0,14.57,61.51,5.36,32.57,38.01,7.28,26.5,8.3,0.0,1013.2
98,bengaluru,2021-03-08,2,347.14,0.0,7.88,63.66,4.59,17.56,21.5,4.69,26.0,9.2,0.0,1013.8
99,bengaluru,2021-03-09,2,343.8,0.0,9.68,55.79,5.19,13.41,17.75,5.26,25.6,10.0,0.0,1014.3
100,bengaluru,2021-03-10,3,373.84,0.0,10.97,60.8,5.42,21.69,26.6,4.18,27.0,7.9,0.0,1014.3
101,bengaluru,2021-03-11,2,330.45,0.0,9.43,42.56,5.48,12.14,14.97,3.33,25.9,9.6,0.0,1014.4
102,bengaluru,2021-03-12,2,350.48,0.0,10.37,70.81,6.38,14.79,19.96,4.75,25.4,9.2,0.0,1015.0
103,bengaluru,2021-03-13,2,383.85,0.0,11.65,57.94,6.02,14.38,18.72,5.7,25.1,9.4,0.0,1014.6
104,bengaluru,2021-03-14,2,337.12,0.0,7.37,69.38,3.82,19.73,23.83,4.81,26.0,9.6,0.0,1013.3
105,bengaluru,2021-03-15,2,367.17,0.0,7.88,58.65,4.77,17.19,20.07,4.43,26.5,8.8,0.0,1012.4
106,bengaluru,2021-03-16,3,427.25,0.0,10.71,66.52,6.08,22.76,26.9,5.51,26.8,8.5,0.0,1012.2
107,bengaluru,2021-03-17,3,433.92,0.0,12.85,62.94,6.56,21.26,25.88,5.76,26.2,9.4,0.0,1011.6
108,bengaluru,2021-03-18,3,410.56,0.0,10.54,62.23,6.44,23.04,27.86,4.75,26.3,9.5,0.0,1012.0
109,bengaluru,2021-03-19,4,473.98,0.0,14.4,70.81,6.91,29.93,37.52,6.08,26.2,8.6,0.0,1011.4
110,bengaluru,2021-03-20,4,460.63,0.0,12.68,85.83,6.5,38.43,45.96,4.88,26.3,7.7,0.0,1010.5
111,bengaluru,2021-03-21,4,417.23,0.0,9.0,90.12,8.94,46.07,51.78,3.74,26.5,8.2,0.0,1010.4
112,bengaluru,2021-03-22,4,390.53,0.0,9.77,80.11,5.13,33.69,38.71,4.88,26.8,9.8,0.0,1011.6
113,bengaluru,2021-03-23,4,433.92,0.0,11.31,75.82,6.08,37.75,42.97,5.07,27.8,9.9,0.0,1012.4
114,bengaluru,2021-03-24,5,440.6,0.0,10.03,77.25,5.48,53.35,59.79,4.75,27.6,11.0,0.0,1012.5
115,bengaluru,2021-03-25,4,453.95,0.0,12.0,62.23,5.78,48.72,57.39,5.0,28.2,10.4,0.0,1011.5
116,bengaluru,2021-03-26,4,460.63,0.0,11.82,60.8,5.9,43.69,49.89,5.38,28.1,11.6,0.0,1010.9
117,bengaluru,2021-03-27,5,460.63,0.0,11.65,79.39,5.72,51.17,56.23,4.75,28.0,11.3,0.0,1010.7
118,bengaluru,2021-03-28,4,453.95,0.0,8.74,72.96,5.01,35.13,39.8,4.62,26.9,10.7,0.0,1010.3
119,bengaluru,2021-03-29,5,480.65,0.0,10.2,108.72,10.97,54.12,58.66,3.33,28.0,7.9,0.0,1010.2
120,bengaluru,2021-03-30,5,507.36,0.0,9.94,115.87,19.07,50.38,58.86,5.0,28.2,9.4,0.0,1009.4
121,bengaluru,2021-03-31,5,2189.64,51.41,59.63,0.0,18.84,81.68,111.52,17.99,28.8,7.9,0.0,1007.2
122,bengaluru,2021-04-01,5,854.49,0.0,33.59,57.22,10.85,76.0,102.39,10.51,29.2,9.2,0.0,1007.8
123,bengaluru,2021-04-02,4,520.71,0.0,17.99,66.52,6.08,37.31,51.39,9.12,28.7,8.6,0.0,1008.1
124,bengaluru,2021-04-03,5,2803.8,76.0,66.49,0.0,21.7,90.99,132.31,20.52,28.3,8.6,0.0,1008.8
125,bengaluru,2021-04-04,4,427.25,0.0,13.2,50.07,3.93,39.07,58.46,7.41,29.1,8.3,0.0,1010.1
126,bengaluru,2021-04-05,5,2162.93,25.26,83.63,0.0,17.64,110.52,154.77,17.73,28.0,9.4,0.0,1010.9
127,bengaluru,2021-04-06,4,567.44,0.0,17.99,76.53,8.7,42.39,55.3,6.65,27.4,9.8,0.0,1011.4
128,bengaluru,2021-04-07,4,527.38,0.0,14.91,77.96,7.87,29.37,40.58,5.7,27.6,9.4,0.0,1012.1
129,bengaluru,2021-04-08,4,467.3,0.0,12.85,77.25,8.7,27.4,41.31,5.95,27.8,8.7,0.0,1010.5
130,bengaluru,2021-04-09,4,460.63,0.0,14.4,94.41,12.28,30.89,43.04,5.32,27.5,9.3,0.0,1009.8
131,bengaluru,2021-04-10,4,447.27,0.0,12.85,115.87,11.21,35.6,44.13,5.7,26.9,9.5,0.0,1011.5
132,bengaluru,2021-04-11,2,377.18,0.0,7.8,70.81,5.42,15.77,19.81,4.05,27.3,9.6,0.0,1012.8
133,bengaluru,2021-04-12,2,367.17,0.0,8.74,53.64,5.36,12.86,15.36,3.39,27.3,9.4,0.0,1013.3
134,bengaluru,2021-04-13,2,440.6,0.04,20.74,21.82,12.88,17.43,20.36,2.47,27.1,8.9,0.0,1012.7
135,bengaluru,2021-04-14,2,487.33,0.02,23.31,28.97,17.17,18.94,20.98,1.76,25.2,6.0,8.1,1012.7
136,bengaluru,2021-04-15,2,694.28,0.59,32.22,9.3,11.68,19.25,23.04,2.44,25.3,6.9,1.8,1012.6
137,bengaluru,2021-04-16,4,1108.17,13.3,41.13,0.11,8.58,30.17,34.77,2.53,27.2,6.0,0.3,1012.0
138,bengaluru,2021-04-17,4,1455.31,2.32,73.34,8.85,9.89,49.39,58.8,6.33,27.7,6.1,0.0,1012.1
139,bengaluru,2021-04-18,4,767.71,0.0,26.73,54.36,7.39,49.12,55.54,7.47,27.8,6.7,0.1,1013.1
140,bengaluru,2021-04-19,4,660.9,0.0,16.62,41.49,5.36,29.65,33.73,5.13,28.3,7.7,0.1,1011.6
141,bengaluru,2021-04-20,4,707.63,0.0,24.68,47.21,7.99,42.59,50.14,8.49,27.5,6.6,2.1,1011.0
142,bengaluru,2021-04-21,4,1094.82,5.14,39.07,1.11,6.2,36.59,45.3,3.96,26.6,4.7,0.0,1012.1
143,bengaluru,2021-04-22,4,881.2,0.01,27.08,31.83,4.83,37.3,43.64,2.91,24.3,4.1,28.7,1012.3
144,bengaluru,2021-04-23,4,1161.58,0.04,40.1,25.03,9.18,45.56,50.94,4.05,24.4,4.2,21.3,1012.5
145,bengaluru,2021-04-24,5,2857.21,74.21,57.58,0.0,16.93,72.47,83.05,14.44,24.6,4.0,65.8,1012.1
146,bengaluru,2021-04-25,5,2563.48,47.39,54.84,0.0,8.23,66.89,77.72,4.88,26.5,4.8,0.0,1010.9
147,bengaluru,2021-04-26,4,814.44,0.03,29.82,23.96,7.39,28.46,35.48,7.92,26.5,4.3,0.0,1010.4
148,bengaluru,2021-04-27,5,1295.09,8.83,52.78,0.57,9.3,50.61,62.12,10.64,26.6,7.4,0.0,1010.9
149,bengaluru,2021-04-28,4,433.92,0.0,12.68,98.71,10.61,43.31,54.39,5.45,27.0,5.7,0.1,1011.7
150,bengaluru,2021-04-29,5,814.44,0.02,33.59,27.54,8.46,62.07,77.03,10.89,26.6,6.2,0.7,1011.6
151,bengaluru,2021-04-30,5,754.36,0.0,22.62,60.08,7.03,60.99,71.97,5.89,26.8,6.7,0.0,1010.1
152,bengaluru,2021-05-01,4,747.68,0.0,31.53,41.84,8.46,34.08,42.91,8.36,27.1,9.0,0.0,1010.0
153,bengaluru,2021-05-02,1,310.42,0.0,8.48,53.64,5.07,7.81,10.4,3.74,27.0,6.5,0.0,1010.6
154,bengaluru,2021-05-03,1,317.1,0.0,8.82,37.91,4.65,5.5,7.14,2.38,27.3,6.7,0.3,1010.4
155,bengaluru,2021-05-04,3,867.84,18.33,29.13,0.0,10.37,23.41,30.79,4.88,26.3,5.6,8.9,1011.0
156,bengaluru,2021-05-05,4,674.25,0.36,31.19,11.8,12.52,25.19,28.07,1.47,26.9,7.2,0.0,1009.9
157,bengaluru,2021-05-06,4,397.21,0.0,16.62,47.92,25.51,30.78,35.49,1.93,27.4,8.7,0.0,1010.6
158,bengaluru,2021-05-07,2,343.8,0.0,11.65,72.24,19.79,15.11,17.81,2.34,27.2,9.0,0.7,1011.4
159,bengaluru,2021-05-08,3,580.79,0.0,19.54,67.95,15.74,21.0,23.41,1.76,26.8,7.4,0.2,1010.3
160,bengaluru,2021-05-09,1,397.21,0.0,7.11,33.98,4.05,4.68,6.27,2.72,27.2,8.3,0.3,1009.5
161,bengaluru,2021-05-10,4,480.65,0.0,12.51,91.55,12.88,28.65,31.22,2.25,27.0,5.0,1.0,1009.5
162,bengaluru,2021-05-11,2,687.6,0.0,17.82,49.35,7.75,17.29,19.6,3.04,27.3,4.4,5.6,1009.9
