date,temperature,wind_speed,rainfall,pressure
2018-01-01,22.2,5.6,,
2018-01-02,22.1,7.0,,
2018-01-03,22.2,7.5,,
2018-01-04,21.6,8.3,,
2018-01-05,20.7,5.9,,
2018-01-06,20.2,5.8,,
2018-01-07,20.4,6.6,,
2018-01-08,20.1,9.5,,
2018-01-09,21.2,11.5,,
2018-01-10,21.8,12.7,,
2018-01-11,22.8,9.4,,
2018-01-12,23.0,10.2,,
2018-01-13,23.4,8.3,,
2018-01-14,23.3,9.2,,
2018-01-15,22.3,8.3,,
2018-01-16,22.8,8.0,,
2018-01-17,21.8,8.4,,
2018-01-18,21.2,8.9,,
2018-01-19,20.8,8.7,,
2018-01-20,20.4,6.8,,
2018-01-21,20.9,7.1,,
2018-01-22,20.4,8.5,,
2018-01-23,22.1,8.6,,
2018-01-24,22.5,5.8,,
2018-01-25,22.7,5.7,,
2018-01-26,21.9,5.9,,
2018-01-27,21.4,6.2,,
2018-01-28,21.9,7.1,,
2018-01-29,22.0,10.5,,
2018-01-30,21.5,10.1,,
2018-01-31,21.4,7.4,,
2018-02-01,21.9,7.5,,
2018-02-02,22.6,8.2,,
2018-02-03,21.7,9.4,,
2018-02-04,21.2,7.2,,
2018-02-05,21.9,8.6,,
2018-02-06,24.4,8.2,,
2018-02-07,23.3,9.2,,
2018-02-08,23.3,6.9,1.5,
2018-02-09,24.4,6.7,0.0,
2018-02-10,24.2,8.5,1.5,
2018-02-11,24.0,12.8,0.0,
2018-02-12,23.3,10.9,,
2018-02-13,23.5,11.6,,
2018-02-14,23.3,13.1,,
2018-02-15,23.4,13.2,,
2018-02-16,23.7,9.3,,
2018-02-17,23.8,7.1,,
2018-02-18,24.0,9.7,,
2018-02-19,24.3,11.3,,
2018-02-20,22.8,9.6,,
2018-02-21,24.2,10.1,,
2018-02-22,24.9,8.7,,
2018-02-23,24.3,10.6,,
2018-02-24,23.2,11.0,,
2018-02-25,24.7,12.4,,
2018-02-26,25.0,7.6,,
2018-02-27,25.2,12.7,,
2018-02-28,25.0,10.7,,
2018-03-01,25.2,10.3,,
2018-03-02,25.5,10.1,,
2018-03-03,25.7,9.2,,
2018-03-04,26.1,9.1,,
2018-03-05,26.3,9.2,,
2018-03-06,25.9,9.3,,
2018-03-07,25.5,10.8,,
2018-03-08,25.4,11.6,,
2018-03-09,26.2,10.7,,
2018-03-10,25.7,8.7,,
2018-03-11,26.2,11.9,,
2018-03-12,25.4,13.1,,
2018-03-13,25.8,14.1,,
2018-03-14,26.5,15.1,0.0,
2018-03-15,25.8,13.5,0.0,
2018-03-16,24.1,8.1,31.0,
2018-03-17,23.7,8.2,0.0,
2018-03-18,24.7,9.1,0.0,
2018-03-19,25.6,10.1,,
2018-03-20,26.7,6.8,,
2018-03-21,27.4,7.9,,
2018-03-22,27.4,9.0,,
2018-03-23,28.2,9.6,,
2018-03-24,27.6,8.5,,
2018-03-25,27.3,11.5,,
2018-03-26,27.1,9.6,,
2018-03-27,27.4,6.8,,
2018-03-28,27.5,7.0,,
2018-03-29,27.5,9.3,,
2018-03-30,25.7,11.6,0.0,
2018-03-31,25.9,10.9,3.3,
2018-04-01,27.6,6.9,0.0,
2018-04-02,24.7,10.6,,
2018-04-03,26.1,6.2,13.7,
2018-04-04,26.2,7.2,0.0,
2018-04-05,26.4,9.1,,
2018-04-06,27.4,7.6,,
2018-04-07,26.7,7.7,,
2018-04-08,26.4,11.1,,
2018-04-09,26.2,12.9,,
2018-04-10,26.5,10.3,,
2018-04-11,26.2,,,
2018-04-12,27.5,,,
2018-04-13,27.6,11.4,,
2018-04-14,28.3,11.1,,
2018-04-15,28.2,11.2,,
2018-04-16,27.2,8.1,,
2018-04-17,28.2,8.5,11.7,
2018-04-18,29.0,5.4,0.0,
2018-04-19,27.9,8.5,,
2018-04-20,25.5,13.0,,
2018-04-21,28.2,8.7,19.1,
2018-04-22,26.1,11.8,0.0,
2018-04-23,27.2,9.5,4.8,
2018-04-24,25.1,10.1,0.0,
2018-04-25,26.6,9.3,3.8,
2018-04-26,27.2,10.3,0.5,
2018-04-27,28.3,6.2,0.5,
2018-04-28,27.7,9.9,0.0,
2018-04-29,28.3,7.6,,
2018-04-30,27.0,13.5,0.3,
2018-05-01,26.9,13.0,5.6,
2018-05-02,26.5,12.9,0.0,
2018-05-03,25.9,12.6,0.8,
2018-05-04,26.1,8.5,39.4,
2018-05-05,27.0,8.1,0.0,
2018-05-06,27.9,6.6,,
2018-05-07,27.8,10.6,,
2018-05-08,25.9,12.2,,
2018-05-09,27.2,,0.0,
2018-05-10,25.7,11.9,,
2018-05-11,24.4,10.3,,
2018-05-12,25.7,5.7,34.3,
2018-05-13,24.9,11.0,0.0,
2018-05-14,23.8,9.5,17.8,
2018-05-15,24.8,8.9,16.5,
2018-05-16,26.2,7.5,4.3,
2018-05-17,26.7,7.5,0.0,
2018-05-18,24.2,12.0,,
2018-05-19,25.9,8.9,19.1,
2018-05-20,25.2,12.0,8.6,
2018-05-21,24.0,9.3,0.0,
2018-05-22,26.3,7.9,9.4,
2018-05-23,23.7,8.1,24.9,
2018-05-24,26.3,10.7,24.9,
2018-05-25,23.5,11.5,33.0,
2018-05-26,25.0,9.1,14.0,
2018-05-27,26.0,8.9,0.0,
2018-05-28,26.3,,0.0,
