date,temperature,wind_speed,rainfall,pressure
2015-01-01,22.3,8.3,7.6,
2015-01-02,22.2,6.8,1.5,
2015-01-03,22.1,7.8,0.0,
2015-01-04,26.2,7.1,,
2015-01-05,26.1,8.8,,
2015-01-06,25.0,7.4,,
2015-01-07,25.3,5.1,,
2015-01-08,25.0,6.2,,
2015-01-09,24.5,7.2,,
2015-01-10,23.0,7.4,,
2015-01-11,22.2,6.1,,
2015-01-12,22.2,5.4,,
2015-01-13,21.8,6.5,,
2015-01-14,22.4,5.7,,
2015-01-15,23.0,5.4,,
2015-01-16,24.3,7.4,,
2015-01-17,24.5,6.5,,
2015-01-18,24.5,6.9,,
2015-01-19,24.4,8.5,,
2015-01-20,24.0,9.1,,
2015-01-21,23.5,10.1,,
2015-01-22,24.9,6.3,,
2015-01-23,25.7,9.9,,
2015-01-24,25.1,10.9,,
2015-01-25,24.9,10.0,,
2015-01-26,23.9,9.3,,
2015-01-27,24.8,11.4,,
2015-01-28,25.1,9.4,,
2015-01-29,25.8,8.8,,
2015-01-30,22.3,10.5,0.0,
2015-01-31,22.8,9.6,0.0,
2015-02-01,24.6,8.5,,
2015-02-02,24.6,12.4,,
2015-02-03,24.1,11.3,,
2015-02-04,24.4,9.8,,
2015-02-05,25.1,8.9,,
2015-02-06,25.7,9.5,,
2015-02-07,24.8,9.0,,
2015-02-08,25.6,9.1,,
2015-02-09,24.9,11.6,,
2015-02-10,23.9,7.7,,
2015-02-11,25.7,8.2,,
2015-02-12,26.2,7.4,,
2015-02-13,26.9,5.3,,
2015-02-14,26.9,6.2,,
2015-02-15,27.2,7.5,,
2015-02-16,26.7,7.3,,
2015-02-17,26.2,6.4,,
2015-02-18,27.2,6.5,,
2015-02-19,26.9,8.9,,
2015-02-20,26.2,10.1,,
2015-02-21,26.2,11.1,,
2015-02-22,26.1,12.0,,
2015-02-23,25.8,12.4,,
2015-02-24,25.5,9.3,,
2015-02-25,26.0,5.7,,
2015-02-26,27.8,5.5,,
2015-02-27,29.0,8.2,,
2015-02-28,28.2,12.2,,
2015-03-01,27.9,11.7,,
2015-03-02,28.8,8.8,,
2015-03-03,23.4,7.0,22.1,
2015-03-04,24.1,8.0,13.7,
2015-03-05,25.7,7.0,0.0,
2015-03-06,26.5,9.8,,
2015-03-07,28.2,8.8,,
2015-03-08,28.1,11.2,,
2015-03-09,27.9,9.3,,
2015-03-10,27.1,10.4,,
2015-03-11,26.8,9.6,,
2015-03-12,27.3,12.8,,
2015-03-13,27.9,12.8,,
2015-03-14,28.0,13.7,,
2015-03-15,28.9,11.5,,
2015-03-16,29.0,10.5,,
2015-03-17,28.7,8.0,,
2015-03-18,28.5,5.2,,
2015-03-19,28.8,8.7,,
2015-03-20,29.0,11.6,,
2015-03-21,29.3,8.7,,
2015-03-22,30.0,7.9,,
2015-03-23,30.2,7.3,,
2015-03-24,30.7,9.3,,
2015-03-25,30.3,11.5,,
2015-03-26,30.9,12.8,,
2015-03-27,29.1,10.9,,
2015-03-28,29.4,11.1,,
2015-03-29,29.8,9.9,,
2015-03-30,29.9,9.5,,
2015-03-31,29.4,9.0,,
2015-04-01,26.9,10.5,1.3,
2015-04-02,27.9,8.6,0.0,
2015-04-03,31.3,10.4,,
2015-04-04,29.0,7.5,0.0,
2015-04-05,31.8,9.4,,
2015-04-06,29.4,10.6,0.0,
2015-04-07,32.1,9.7,,
2015-04-08,30.3,12.2,,
2015-04-09,28.8,13.5,,
2015-04-10,28.9,10.3,,
2015-04-11,29.0,8.1,,
2015-04-12,24.2,10.9,,
2015-04-13,23.0,8.7,,
2015-04-14,25.1,6.7,,
2015-04-15,24.1,8.8,,
2015-04-16,24.5,7.3,19.1,
2015-04-17,24.2,9.5,4.3,
2015-04-18,25.5,8.7,8.1,
2015-04-19,26.8,9.2,0.0,
2015-04-20,29.6,8.2,,
2015-04-21,29.2,9.4,,
2015-04-22,28.8,9.0,,
2015-04-23,24.6,10.1,0.0,
2015-04-24,25.4,7.8,53.3,
2015-04-25,23.9,9.5,35.6,
2015-04-26,23.7,7.7,35.8,
2015-04-27,25.5,9.1,5.1,
2015-04-28,26.4,7.1,0.0,
