date,temperature,wind_speed,rainfall,pressure
2015-01-01,,3.1,,
2015-01-02,14.7,5.4,5.1,
2015-01-03,15.0,4.4,7.1,
2015-01-04,14.2,8.7,0.0,
2015-01-05,12.8,14.7,,
2015-01-06,11.1,9.1,,
2015-01-07,9.3,6.7,,
2015-01-08,8.4,5.2,,
2015-01-09,9.4,5.8,,
2015-01-10,,7.8,,
2015-01-11,10.1,6.1,,
2015-01-12,10.5,8.0,,
2015-01-13,10.8,10.0,,
2015-01-14,12.1,11.7,0.5,
2015-01-15,12.3,4.7,0.0,
2015-01-16,,6.2,,
2015-01-17,12.8,5.3,,
2015-01-18,,,,
2015-01-19,,,,
2015-01-20,12.6,11.5,,
2015-01-21,12.8,13.4,,
2015-01-22,12.6,10.4,3.0,
2015-01-23,14.7,8.5,7.1,
2015-01-24,12.5,10.8,0.0,
2015-01-25,11.6,8.3,,
2015-01-26,13.7,5.8,1.0,
2015-01-27,13.3,10.2,0.8,
2015-01-28,12.6,12.2,0.0,
2015-01-29,10.8,9.2,,
2015-01-30,,,,
2015-01-31,12.7,9.0,,
2015-02-01,,,,
2015-02-02,17.0,15.4,,
2015-02-03,16.9,15.7,,
2015-02-04,14.0,12.0,,
2015-02-05,,,,
2015-02-06,,,,
2015-02-07,16.8,2.5,,
2015-02-08,,,,
2015-02-09,17.5,10.1,,
2015-02-10,16.0,8.4,,
2015-02-11,16.3,5.1,,
2015-02-12,,8.4,,
2015-02-13,,,,
2015-02-14,,,,
2015-02-15,19.0,4.8,,
2015-02-16,,,,
2015-02-17,,,,
2015-02-18,21.8,5.3,,
2015-02-19,,13.5,,
2015-02-20,22.8,13.2,2.0,
2015-02-21,21.9,10.8,0.0,
2015-02-22,,,,
2015-02-23,,,,
2015-02-24,22.0,8.5,,
2015-02-25,23.2,11.4,0.0,
2015-02-26,20.0,,0.0,
2015-02-27,19.4,8.5,,
2015-02-28,21.3,9.4,,
2015-03-01,17.3,17.0,7.9,
2015-03-02,17.4,,56.9,
2015-03-03,16.1,6.9,7.1,
2015-03-04,16.8,,0.0,
2015-03-05,,,,
2015-03-06,,,,
2015-03-07,,,,
2015-03-08,18.9,9.3,,
2015-03-09,17.9,14.6,,
2015-03-10,,,,
2015-03-11,,8.5,,
2015-03-12,,,,
2015-03-13,,,,
2015-03-14,,,,
2015-03-15,17.9,13.0,,
2015-03-16,19.4,10.1,,
2015-03-17,20.3,,,
2015-03-18,,,,
2015-03-19,21.4,7.7,,
2015-03-20,22.4,8.8,,
2015-03-21,,,,
2015-03-22,,,,
2015-03-23,,10.1,,
2015-03-24,26.1,5.2,,
2015-03-25,,5.6,,
2015-03-26,28.8,6.2,,
2015-03-27,29.0,10.9,,
2015-03-28,,,,
2015-03-29,25.7,14.5,,
2015-03-30,23.4,16.6,10.9,
2015-03-31,25.1,9.9,0.0,
2015-04-01,26.7,5.2,,
2015-04-02,28.1,12.4,,
2015-04-03,24.4,11.9,6.1,
2015-04-04,21.0,6.7,15.0,
2015-04-05,23.4,4.2,2.0,
2015-04-06,25.1,6.3,0.0,
2015-04-07,23.9,11.8,0.0,
2015-04-08,25.2,6.6,0.0,
2015-04-09,25.8,,0.0,
2015-04-10,27.4,9.3,,
2015-04-11,,5.0,,
2015-04-12,24.3,10.4,2.0,
2015-04-13,24.9,,0.0,
2015-04-14,26.4,7.9,2.0,
2015-04-15,27.6,6.9,0.0,
2015-04-16,26.0,9.5,,
2015-04-17,,,,
2015-04-18,30.8,8.6,,
2015-04-19,32.7,5.3,,
2015-04-20,33.4,11.2,,
2015-04-21,31.8,11.7,,
2015-04-22,31.4,9.8,,
2015-04-23,32.5,6.5,,
2015-04-24,33.0,5.5,,
2015-04-25,31.1,14.7,,
2015-04-26,28.8,15.9,,
2015-04-27,,,,
2015-04-28,31.1,16.4,0.0,
2015-04-29,31.1,11.4,,
2015-04-30,33.0,14.9,,
2015-05-01,32.3,12.7,,
2015-05-02,30.2,,0.3,
2015-05-03,30.9,,0.0,
2015-05-04,,,,
2015-05-05,32.8,6.6,,
2015-05-06,,,,
2015-05-07,35.4,12.0,,
2015-05-08,34.8,10.9,,
2015-05-09,35.4,7.3,,
2015-05-10,,,,
2015-05-11,34.4,12.5,0.0,
2015-05-12,32.9,11.8,,
2015-05-13,28.5,11.3,,
2015-05-14,,5.1,,
2015-05-15,,,,
2015-05-16,30.5,6.5,,
2015-05-17,33.1,10.3,,
2015-05-18,36.6,11.3,,
2015-05-19,33.3,12.9,,
2015-05-20,,,,
2015-05-21,35.9,10.8,,
2015-05-22,36.7,11.1,,
2015-05-23,37.7,13.3,,
2015-05-24,,,,
2015-05-25,39.1,11.6,,
2015-05-26,38.4,11.2,,
2015-05-27,35.8,11.1,,
2015-05-28,,7.4,,
2015-05-29,36.4,9.6,,
2015-05-30,36.6,10.0,,
2015-05-31,36.1,14.0,,
2015-06-01,30.0,13.7,0.0,
2015-06-02,31.6,10.6,3.0,
2015-06-03,28.7,13.5,0.5,
2015-06-04,31.8,,0.0,
2015-06-05,,,,
2015-06-06,34.8,10.5,,
2015-06-07,36.3,8.0,,
2015-06-08,37.8,7.1,,
2015-06-09,37.4,14.3,,
2015-06-10,36.9,16.1,,
2015-06-11,36.3,16.4,,
2015-06-12,36.1,15.9,,
2015-06-13,31.9,13.1,0.0,
2015-06-14,27.0,,25.9,
2015-06-15,30.8,6.7,1.0,
2015-06-16,32.3,6.1,0.0,
2015-06-17,,6.9,,
2015-06-18,36.1,7.9,,
2015-06-19,36.7,12.3,,
2015-06-20,33.8,16.0,,
2015-06-21,30.5,13.1,,
2015-06-22,32.2,12.5,,
2015-06-23,32.1,7.2,,
2015-06-24,,,,
2015-06-25,26.5,10.2,21.1,
2015-06-26,31.5,,0.3,
2015-06-27,32.7,13.1,0.0,
2015-06-28,34.5,11.7,,
2015-06-29,31.1,15.9,0.0,
2015-06-30,31.0,11.3,0.0,
2015-07-01,31.4,9.2,,
2015-07-02,33.2,10.0,,
2015-07-03,33.1,14.6,,
2015-07-04,32.7,14.2,,
2015-07-05,35.1,12.8,,
2015-07-06,27.8,13.0,6.1,
2015-07-07,28.3,6.6,10.9,
2015-07-08,31.2,8.5,26.9,
2015-07-09,29.7,7.8,1.0,
2015-07-10,27.0,8.2,1.0,
2015-07-11,25.5,10.2,93.0,
2015-07-12,25.5,12.4,69.1,
2015-07-13,29.9,7.5,7.1,
2015-07-14,31.0,11.4,0.0,
2015-07-15,32.5,13.7,,
2015-07-16,31.8,13.4,,
2015-07-17,30.9,9.9,0.3,
2015-07-18,29.6,,0.0,
2015-07-19,30.1,5.2,2.0,
2015-07-20,29.1,,3.0,
2015-07-21,31.5,11.0,4.1,
2015-07-22,32.2,10.9,0.0,
