date,temperature,wind_speed,rainfall,pressure
2018-01-01,24.2,,,
2018-01-02,23.8,7.7,,
2018-01-03,23.5,8.3,,
2018-01-04,22.8,7.8,,
2018-01-05,22.2,9.1,,
2018-01-06,21.6,8.3,,
2018-01-07,23.1,8.0,,
2018-01-08,22.2,8.7,,
2018-01-09,22.2,9.5,,
2018-01-10,23.7,9.9,,
2018-01-11,25.1,8.4,,
2018-01-12,25.1,,,
2018-01-13,25.2,10.6,,
2018-01-14,24.7,,,
2018-01-15,26.2,8.3,,
2018-01-16,25.8,,,
2018-01-17,24.6,9.4,,
2018-01-18,24.4,,,
2018-01-19,24.2,,,
2018-01-20,23.3,7.6,,
2018-01-21,23.2,8.8,,
2018-01-22,23.3,,,
2018-01-23,24.4,7.2,,
2018-01-24,23.4,10.7,,
2018-01-25,24.0,,,
2018-01-26,24.3,7.8,,
2018-01-27,24.2,8.7,,
2018-01-28,24.3,,,
2018-01-29,24.2,8.6,,
2018-01-30,23.4,10.4,,
2018-01-31,23.7,,,
2018-02-01,24.4,11.0,,
2018-02-02,24.6,9.0,,
2018-02-03,25.2,9.7,,
2018-02-04,24.6,8.1,,
2018-02-05,24.5,,,
2018-02-06,24.6,9.4,,
2018-02-07,24.4,7.5,,
2018-02-08,26.6,,0.0,
2018-02-09,26.2,9.5,,
2018-02-10,25.7,9.5,,
2018-02-11,26.4,11.4,,
2018-02-12,25.8,10.1,,
2018-02-13,25.3,,,
2018-02-14,25.1,,,
2018-02-15,26.1,,,
2018-02-16,26.1,,,
2018-02-17,26.9,10.2,,
2018-02-18,27.4,,,
2018-02-19,27.7,8.6,,
2018-02-20,27.7,8.6,,
2018-02-21,27.3,8.9,,
2018-02-22,27.7,9.7,,
2018-02-23,27.8,,,
2018-02-24,27.8,8.9,,
2018-02-25,26.5,,,
2018-02-26,27.5,,,
2018-02-27,28.2,9.2,,
2018-02-28,28.8,7.7,,
2018-03-01,29.8,,,
2018-03-02,29.6,7.5,,
2018-03-03,29.5,7.1,,
2018-03-04,30.4,,,
2018-03-05,30.7,8.7,,
2018-03-06,29.8,8.4,,
2018-03-07,30.2,10.3,,
2018-03-08,29.6,,,
2018-03-09,29.4,,,
2018-03-10,29.6,,,
2018-03-11,29.9,,,
2018-03-12,29.6,9.6,,
2018-03-13,29.9,9.9,,
2018-03-14,31.1,8.3,,
2018-03-15,31.2,,,
2018-03-16,26.1,14.8,0.0,
2018-03-17,26.9,10.5,0.0,
2018-03-18,28.7,,,
2018-03-19,30.4,8.6,,
2018-03-20,31.3,7.7,,
2018-03-21,31.9,8.0,,
2018-03-22,30.8,,0.5,
2018-03-23,31.4,8.8,0.0,
2018-03-24,31.9,8.3,,
2018-03-25,30.9,,,
2018-03-26,31.7,,,
2018-03-27,33.1,,,
2018-03-28,33.9,,,
2018-03-29,33.6,8.1,,
2018-03-30,34.2,7.4,,
2018-03-31,32.2,9.3,,
2018-04-01,29.3,11.2,,
2018-04-02,29.2,,,
2018-04-03,31.3,,13.0,
2018-04-04,31.9,9.7,0.0,
2018-04-05,30.3,10.7,0.0,
