date,temperature,wind_speed,rainfall,pressure
2015-01-03,24.2,,0.5,
2015-01-04,23.3,,0.0,
2015-01-05,,,,
2015-01-06,,,,
2015-01-07,,,,
2015-01-08,,,,
2015-01-09,,,,
2015-01-10,,,,
2015-01-11,,,,
2015-01-12,,,,
2015-01-13,,,,
2015-01-14,,,,
2015-01-15,,,,
2015-01-16,,,,
2015-01-17,,,,
2015-01-18,,,,
2015-01-19,,,,
2015-01-20,,,,
2015-01-21,,,,
2015-01-22,,,,
2015-01-23,,,,
2015-01-24,,,,
2015-01-25,,,,
2015-01-26,,,,
2015-01-27,,,,
2015-01-28,,,,
2015-01-29,,,,
2015-01-30,,,,
2015-01-31,,,,
2015-02-01,,,,
2015-02-02,,,,
2015-02-03,,,,
2015-02-04,,,,
2015-02-05,,,,
2015-02-06,,,,
2015-02-07,,,,
2015-02-08,,,,
2015-02-09,,,,
2015-02-10,,,,
2015-02-11,,,,
2015-02-12,,,,
2015-02-13,,,,
2015-02-14,,,,
2015-02-15,,,,
2015-02-16,,,,
2015-02-17,,,,
2015-02-18,,,,
2015-02-19,,,,
2015-02-20,,,,
2015-02-21,,,,
2015-02-22,,,,
2015-02-23,,,,
2015-02-24,,,,
2015-02-25,,,,
2015-02-26,,,,
2015-02-27,,,,
2015-02-28,,,,
2015-03-01,23.3,,0.0,
2015-03-02,25.8,,19.1,
2015-03-03,27.4,,0.0,
2015-03-04,,,,
2015-03-05,,,,
2015-03-06,,,,
2015-03-07,,,,
2015-03-08,,,,
2015-03-09,24.3,,0.5,
2015-03-10,25.4,,0.0,
2015-03-11,27.0,,0.0,
2015-03-12,,,,
2015-03-13,,,,
2015-03-14,,,,
2015-03-15,,,,
2015-03-16,,,,
2015-03-17,,,,
2015-03-18,,,,
2015-03-19,,,,
2015-03-20,,,,
2015-03-21,,,,
2015-03-22,,,,
2015-03-23,,,,
2015-03-24,,,,
2015-03-25,,,,
2015-03-26,,,,
2015-03-27,,,,
2015-03-28,,,,
2015-03-29,,,,
2015-03-30,,,,
2015-03-31,,,,
2015-04-01,,,,
2015-04-02,,,,
2015-04-03,,,,
2015-04-04,,,,
2015-04-05,,,,
2015-04-06,,,,
2015-04-07,,,,
2015-04-08,,,,
2015-04-09,,,,
2015-04-10,29.7,,0.0,
2015-04-11,26.1,,2.0,
2015-04-12,22.3,,2.0,
2015-04-13,23.9,,61.0,
2015-04-14,22.9,,24.9,
2015-04-15,27.0,,1.0,
2015-04-16,26.9,,0.0,
2015-04-17,,,,
2015-04-18,,,,
2015-04-19,,,,
2015-04-20,,,,
2015-04-21,,,,
2015-04-22,,,,
2015-04-23,,,,
2015-04-24,29.8,,0.8,
2015-04-25,31.3,,0.0,
2015-04-26,,,,
2015-04-27,,,,
2015-04-28,,,,
2015-04-29,,,,
2015-04-30,,,,
2015-05-01,,,,
2015-05-02,,,,
2015-05-03,,,,
2015-05-04,30.7,,0.0,
2015-05-05,,,,
2015-05-06,,,,
2015-05-07,32.4,,0.0,
2015-05-08,,,,
2015-05-09,,,,
2015-05-10,,,,
2015-05-11,,,,
2015-05-12,,,,
2015-05-13,,,,
2015-05-14,,,,
2015-05-15,,,,
2015-05-16,28.8,,7.1,
2015-05-17,31.7,,0.0,
2015-05-18,,,,
2015-05-19,,,,
2015-05-20,,,,
2015-05-21,,,,
2015-05-22,,,,
2015-05-23,,,,
2015-05-24,,,,
2015-05-25,,,,
2015-05-26,,,,
2015-05-27,,,,
2015-05-28,36.7,,0.0,
2015-05-29,33.8,,0.8,
2015-05-30,35.3,,0.0,
2015-05-31,,,,
2015-06-01,,,,
2015-06-02,,,,
2015-06-03,,,,
2015-06-04,,,,
2015-06-05,,,,
2015-06-06,,,,
2015-06-07,29.6,,30.0,
2015-06-08,31.4,,0.0,
2015-06-09,,,,
2015-06-10,31.7,,0.0,
2015-06-11,,,,
2015-06-12,,,,
2015-06-13,26.3,,29.0,
2015-06-14,26.0,,0.0,
2015-06-15,,,,
2015-06-16,,,,
2015-06-17,,,,
2015-06-18,,,,
2015-06-19,26.5,,7.1,
2015-06-20,25.8,,0.5,
2015-06-21,23.7,,6.1,
2015-06-22,27.0,,8.9,
2015-06-23,29.0,,0.3,
2015-06-24,28.6,,0.0,
2015-06-25,29.0,,0.0,
2015-06-26,,,,
2015-06-27,,,,
2015-06-28,,,,
2015-06-29,,,,
2015-06-30,29.6,,0.0,
2015-07-01,,,,
2015-07-02,28.1,,0.5,
2015-07-03,30.6,,0.0,
2015-07-04,,,,
2015-07-05,,,,
2015-07-06,,,,
2015-07-07,,,,
2015-07-08,,,,
2015-07-09,29.7,,0.0,
2015-07-10,,,,
2015-07-11,,,,
2015-07-12,,,,
2015-07-13,,,,
2015-07-14,,,,
2015-07-15,,,,
2015-07-16,,,,
2015-07-17,,,,
2015-07-18,28.4,,1.0,
2015-07-19,28.6,,2.0,
2015-07-20,27.6,,0.0,
2015-07-21,28.3,,3.0,
2015-07-22,28.2,,0.0,
2015-07-23,28.2,,0.8,
2015-07-24,29.0,,0.0,
