date,temperature,wind_speed,rainfall,pressure
2015-01-01,21.1,5.6,,
2015-01-02,23.6,7.2,2.0,
2015-01-03,24.1,5.3,0.0,
2015-01-04,21.7,8.2,,
2015-01-05,19.6,5.7,,
2015-01-06,18.7,3.9,,
2015-01-07,19.3,3.2,,
2015-01-08,19.0,4.4,,
2015-01-09,18.8,4.6,,
2015-01-10,18.4,5.7,,
2015-01-11,15.0,8.0,,
2015-01-12,17.2,5.6,,
2015-01-13,18.0,5.0,,
2015-01-14,19.2,4.1,,
2015-01-15,19.4,4.5,,
2015-01-16,20.3,5.7,,
2015-01-17,18.4,9.0,,
2015-01-18,15.9,6.9,,
2015-01-19,15.4,4.9,,
2015-01-20,16.5,7.2,,
2015-01-21,17.6,6.1,,
2015-01-22,18.3,2.3,,
2015-01-23,19.3,1.5,,
2015-01-24,20.6,4.9,,
2015-01-25,20.1,3.7,,
2015-01-26,20.0,5.0,,
2015-01-27,20.5,3.5,,
2015-01-28,21.2,4.2,,
2015-01-29,20.6,6.4,,
2015-01-30,18.8,5.8,,
2015-01-31,17.0,6.3,,
2015-02-01,17.5,4.2,,
2015-02-02,18.4,4.3,,
2015-02-03,20.4,3.5,,
2015-02-04,22.2,2.9,,
2015-02-05,21.9,5.2,,
2015-02-06,19.0,7.2,,
2015-02-07,18.7,3.8,,
2015-02-08,21.1,2.1,,
2015-02-09,21.4,4.8,,
2015-02-10,21.9,4.7,,
2015-02-11,21.2,5.5,,
2015-02-12,21.2,3.4,,
2015-02-13,20.9,4.0,,
2015-02-14,22.0,4.9,,
2015-02-15,23.4,5.0,,
2015-02-16,23.7,5.4,,
2015-02-17,24.2,4.6,,
2015-02-18,25.2,8.7,,
2015-02-19,24.0,11.7,,
2015-02-20,25.6,3.7,,
2015-02-21,26.7,5.1,,
2015-02-22,26.5,5.7,,
2015-02-23,26.2,7.3,,
2015-02-24,26.8,7.1,,
2015-02-25,27.1,4.4,,
2015-02-26,27.3,10.7,,
2015-02-27,27.6,8.2,,
2015-02-28,26.8,9.1,,
2015-03-01,26.7,5.2,,
2015-03-02,26.3,6.3,,
2015-03-03,26.0,4.2,,
2015-03-04,23.4,5.4,13.0,
2015-03-05,23.3,8.0,0.0,
2015-03-06,23.2,3.1,,
2015-03-07,23.6,4.7,,
2015-03-08,24.3,3.9,,
2015-03-09,25.8,4.8,,
2015-03-10,27.0,3.5,,
2015-03-11,25.2,5.2,,
2015-03-12,25.6,3.7,,
2015-03-13,26.4,2.6,,
2015-03-14,28.6,6.0,,
2015-03-15,28.7,6.0,,
2015-03-16,26.7,7.0,,
2015-03-17,28.9,4.6,,
2015-03-18,27.4,5.8,,
2015-03-19,26.6,6.7,,
2015-03-20,26.3,5.4,,
2015-03-21,27.3,4.4,,
2015-03-22,27.8,4.3,,
2015-03-23,29.6,5.0,,
2015-03-24,28.6,7.9,,
2015-03-25,29.0,9.3,,
2015-03-26,28.9,11.1,,
2015-03-27,28.9,11.1,,
2015-03-28,28.3,10.7,0.3,
2015-03-29,29.0,10.4,0.0,
2015-03-30,27.3,12.6,,
2015-03-31,27.1,7.0,,
2015-04-01,29.6,11.9,,
2015-04-02,30.8,11.8,,
2015-04-03,31.2,9.0,,
2015-04-04,29.6,13.8,,
2015-04-05,27.1,9.4,0.0,
2015-04-06,27.5,5.8,17.0,
2015-04-07,27.5,9.7,0.0,
2015-04-08,28.1,8.0,13.0,
2015-04-09,29.6,6.4,0.0,
2015-04-10,31.1,7.9,0.0,
2015-04-11,30.8,12.4,,
2015-04-12,27.2,6.2,,
2015-04-13,28.4,5.0,,
2015-04-14,29.6,3.1,,
2015-04-15,30.4,3.8,,
2015-04-16,29.7,4.7,,
2015-04-17,29.3,7.8,0.0,
2015-04-18,30.5,14.9,0.3,
2015-04-19,30.9,15.2,0.0,
2015-04-20,30.8,14.0,,
2015-04-21,30.6,15.8,,
2015-04-22,30.1,17.1,,
2015-04-23,28.7,10.9,8.9,
2015-04-24,27.9,13.6,23.9,
2015-04-25,23.9,7.6,0.3,
2015-04-26,25.1,4.7,19.1,
2015-04-27,27.6,4.7,3.0,
2015-04-28,26.7,8.3,0.0,
2015-04-29,28.3,7.0,7.9,
2015-04-30,30.5,8.0,0.0,
2015-05-01,31.1,11.7,,
2015-05-02,29.8,12.9,0.0,
2015-05-03,29.8,9.2,0.5,
2015-05-04,30.3,9.0,0.0,
2015-05-05,31.8,11.6,,
2015-05-06,31.7,12.0,,
2015-05-07,31.2,8.9,,
2015-05-08,31.3,13.2,,
2015-05-09,31.7,8.4,,
2015-05-10,31.9,12.6,,
2015-05-11,31.6,9.3,,
2015-05-12,31.2,9.7,,
2015-05-13,31.6,11.3,,
2015-05-14,32.8,10.5,0.3,
