date,temperature,wind_speed,rainfall,pressure
2018-01-01,25.1,5.7,,1010.3
2018-01-02,24.0,7.8,,1010.0
2018-01-03,24.8,6.9,,1011.3
2018-01-04,25.2,6.1,,1012.5
2018-01-05,25.2,7.9,,1011.3
2018-01-06,24.6,8.4,,1011.2
2018-01-07,23.3,8.6,,1012.5
2018-01-08,23.7,5.9,,1012.6
2018-01-09,25.4,7.4,,1013.6
2018-01-10,27.2,7.2,,1013.9
2018-01-11,27.9,7.3,,1013.4
2018-01-12,28.3,7.9,,1012.4
2018-01-13,28.2,8.8,,1012.0
2018-01-14,28.3,5.1,,1012.4
2018-01-15,29.0,7.9,,1012.3
2018-01-16,29.5,8.4,,1010.9
2018-01-17,28.7,8.5,,1011.3
2018-01-18,28.8,9.1,,1012.1
2018-01-19,27.3,8.7,,
2018-01-20,27.0,,,
2018-01-21,27.3,8.7,,1010.7
2018-01-22,26.0,7.2,,1009.6
2018-01-23,24.3,10.0,,1010.9
2018-01-24,23.9,9.6,,1011.6
2018-01-25,25.2,8.0,,1010.7
2018-01-26,25.8,7.5,,1010.5
2018-01-27,25.2,6.9,,1010.7
2018-01-28,25.1,7.2,,1011.7
2018-01-29,26.7,6.3,,1012.5
2018-01-30,28.0,8.5,,1013.0
2018-01-31,28.3,7.9,,
2018-02-01,27.4,6.1,,1013.2
2018-02-02,27.4,8.4,,1011.8
2018-02-03,27.5,8.8,,1011.5
2018-02-04,27.8,4.9,,1011.3
2018-02-05,27.1,7.8,,1012.8
2018-02-06,27.6,8.0,,1013.3
2018-02-07,26.3,9.7,,1012.2
2018-02-08,25.7,7.6,,1012.3
2018-02-09,26.3,8.7,,1012.2
2018-02-10,25.3,10.2,,1012.8
2018-02-11,24.7,8.7,,1013.2
2018-02-12,24.0,9.4,,1015.5
2018-02-13,25.3,10.9,,1016.6
2018-02-14,29.0,11.1,,1015.4
2018-02-15,29.7,12.6,,1016.0
2018-02-16,29.7,8.7,,1015.4
2018-02-17,28.9,9.6,,1012.3
2018-02-18,28.4,8.6,,1010.3
2018-02-19,28.2,7.8,,1010.3
2018-02-20,27.7,9.0,,1010.7
2018-02-21,28.8,10.1,,1009.4
2018-02-22,28.6,9.2,,1008.7
2018-02-23,28.7,8.3,,1009.3
2018-02-24,30.2,5.9,,1011.0
2018-02-25,30.7,8.1,,1011.6
2018-02-26,30.6,9.1,,1010.9
2018-02-27,30.9,8.4,,1009.8
2018-02-28,30.6,5.9,,1009.7
2018-03-01,29.3,7.3,,1009.4
2018-03-02,29.5,8.1,,1009.0
2018-03-03,29.3,6.5,,1008.6
2018-03-04,28.4,11.4,,1008.9
2018-03-05,28.9,9.6,,1010.0
2018-03-06,30.5,9.6,,1009.7
2018-03-07,28.2,10.3,,1009.4
2018-03-08,27.9,8.8,,1010.3
2018-03-09,28.9,10.0,,1010.5
2018-03-10,28.9,10.6,,1010.1
2018-03-11,31.7,9.7,,1010.2
2018-03-12,31.3,11.0,,1010.4
2018-03-13,31.4,10.7,,1010.3
2018-03-14,31.4,12.0,,1009.9
2018-03-15,28.2,7.6,,1010.1
2018-03-16,29.2,9.2,0.0,1009.3
2018-03-17,29.3,9.9,,1009.3
2018-03-18,29.0,10.8,,1009.6
2018-03-19,28.7,9.9,,
2018-03-20,28.2,9.6,,1011.3
2018-03-21,27.8,12.8,,1011.0
2018-03-22,27.3,11.4,,1010.6
2018-03-23,27.4,11.0,,1010.2
2018-03-24,29.0,9.4,,1010.6
2018-03-25,33.0,8.1,,1010.7
2018-03-26,32.7,8.9,,1010.4
2018-03-27,29.1,12.1,,1010.4
2018-03-28,28.4,10.2,,1010.2
2018-03-29,28.1,10.4,,1009.9
2018-03-30,28.3,10.2,,1009.2
2018-03-31,28.4,10.0,,1009.0
2018-04-01,28.7,8.3,,1008.3
2018-04-02,29.0,8.3,,1008.8
2018-04-03,29.1,9.1,,
2018-04-04,29.7,8.8,,1007.0
2018-04-05,29.6,9.5,,1006.1
2018-04-06,29.4,10.5,,1007.5
2018-04-07,29.8,7.9,,1008.6
2018-04-08,29.6,8.4,,1009.0
2018-04-09,30.1,10.2,,1009.4
2018-04-10,29.6,11.0,,1008.2
2018-04-11,29.4,10.2,,
2018-04-12,29.1,10.4,,1008.2
2018-04-13,29.4,10.1,,1008.2
2018-04-14,29.6,8.3,,1008.0
2018-04-15,29.8,8.8,,1008.4
2018-04-16,30.3,10.7,,
2018-04-17,32.0,10.5,,1009.6
2018-04-18,31.8,10.4,,1009.9
2018-04-19,31.6,9.0,,1007.4
2018-04-20,30.5,11.0,,1008.5
2018-04-21,30.6,10.3,,1008.4
2018-04-22,31.5,10.3,,1008.3
2018-04-23,30.3,10.3,,1008.7
2018-04-24,31.0,10.4,,1008.6
2018-04-25,30.2,11.2,,1008.2
2018-04-26,29.4,9.1,,1007.8
2018-04-27,29.5,11.2,,1008.4
2018-04-28,29.7,10.3,,1008.8
2018-04-29,29.8,11.4,,1008.8
2018-04-30,29.7,10.9,,1007.6
2018-05-01,29.8,12.2,,1008.2
2018-05-02,29.8,10.1,,1008.3
2018-05-03,30.1,10.4,,
2018-05-04,30.4,9.7,,
2018-05-05,30.7,11.8,,1008.5
2018-05-06,30.6,9.6,,
2018-05-07,30.9,9.5,,1009.1
2018-05-08,30.6,11.2,,
2018-05-09,31.1,11.2,,1007.5
2018-05-10,30.7,11.9,,1008.6
2018-05-11,31.3,11.6,,1008.4
2018-05-12,31.0,12.3,,1008.6
2018-05-13,30.9,9.7,,1007.7
2018-05-14,30.8,,,
2018-05-15,30.9,10.9,,1007.5
2018-05-16,30.9,9.8,,
2018-05-17,31.6,13.1,,1005.6
2018-05-18,31.3,12.4,,1006.7
2018-05-19,31.2,12.2,,1005.9
2018-05-20,31.2,10.5,,1006.3
2018-05-21,31.2,11.5,,1006.5
2018-05-22,30.9,11.1,,1006.8
2018-05-23,30.9,9.8,,
2018-05-24,31.3,11.8,,1006.0
2018-05-25,31.3,12.6,,1006.0
2018-05-26,31.7,12.6,,1004.3
2018-05-27,31.7,12.5,,1004.1
2018-05-28,31.4,13.0,,
2018-05-29,31.3,16.9,,1003.7
2018-05-30,31.4,15.1,,1003.8
2018-05-31,31.7,13.8,,1004.3
2018-06-01,31.9,12.9,,1005.4
2018-06-02,30.4,11.3,,1006.1
2018-06-03,30.9,11.5,25.9,1005.5
2018-06-04,29.7,11.6,0.0,1004.1
2018-06-05,30.6,10.6,51.1,1004.4
2018-06-06,31.6,12.3,0.0,1006.3
2018-06-07,28.1,8.3,19.1,1004.6
2018-06-08,30.6,12.4,40.9,1001.7
2018-06-09,27.6,12.3,37.1,
2018-06-10,30.9,20.8,,1001.3
2018-06-11,31.2,20.8,0.5,1002.9
2018-06-12,31.0,18.1,0.8,1003.3
2018-06-13,31.2,17.7,0.0,1003.8
2018-06-14,30.7,14.0,0.3,1005.1
2018-06-15,30.1,13.9,7.1,1005.4
2018-06-16,27.7,10.6,8.9,1006.7
2018-06-17,26.9,12.3,58.9,1005.9
2018-06-18,27.7,11.8,52.1,1004.3
2018-06-19,29.6,10.5,2.0,1003.8
2018-06-20,30.7,10.7,0.5,1003.6
2018-06-21,30.7,13.5,0.3,1004.0
2018-06-22,30.6,15.2,1.0,1003.8
2018-06-23,25.8,11.6,16.0,
2018-06-24,26.4,13.5,32.0,1003.6
2018-06-25,27.9,16.6,230.9,1002.3
2018-06-26,29.4,19.4,53.1,1001.5
2018-06-27,29.7,18.0,2.0,1001.0
2018-06-28,27.0,9.7,2.0,1001.3
2018-06-29,27.6,9.2,29.0,1002.0
2018-06-30,28.2,12.9,20.1,1004.2
2018-07-01,28.9,14.5,2.0,1005.0
2018-07-02,27.3,15.3,0.5,1004.4
